nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PS. Sunter Hulu",Sunter,,,"2019-03-16 07:00:16",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-16 08:30:00",4440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-16 08:40:00",560,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-16 07:53:42",950,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-16 07:10:12",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-16 08:10:29",2550,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-16 08:40:00",1660,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-16 08:40:00",1780,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-16 08:30:00",1690,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-15 21:10:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-16 09:10:00",140,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-16 09:10:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-16 09:10:00",5990,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-16 09:10:00",270,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-16 09:10:00",370,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-03-16 08:01:00",2900,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-16 09:10:00",1930,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-16 07:56:35",1930,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-15 18:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-16 09:10:00",610,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-16 09:10:00",240,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-16 09:10:00",440,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-16 07:00:16",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-16 09:10:00",4440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-16 09:10:00",560,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-16 07:53:42",950,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-16 07:10:12",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-16 08:10:29",2550,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-16 09:00:00",1660,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-16 09:10:00",1790,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-16 09:00:00",1690,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-15 21:10:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-16 09:40:00",130,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-16 09:40:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-16 09:40:00",5990,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-16 09:40:00",270,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-16 09:40:00",380,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-03-16 09:00:21",2900,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-16 09:40:00",1800,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-16 09:01:07",1970,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-15 18:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-16 09:40:00",610,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-16 09:40:00",240,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-16 09:40:00",660,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-16 07:00:16",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-16 09:30:00",4440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-16 09:40:00",480,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-16 07:53:42",950,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-16 09:17:33",300,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-16 09:02:37",2550,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-16 09:40:00",1620,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-16 09:40:00",1630,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-16 09:40:00",1700,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-15 21:10:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-16 10:10:00",120,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-16 10:10:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-16 10:10:00",5980,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-16 10:10:00",270,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-16 10:10:00",390,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-03-16 09:00:21",2900,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-16 10:00:00",1730,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-16 09:01:07",1970,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-15 18:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-16 10:10:00",610,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-16 10:10:00",240,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-16 10:10:00",670,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-16 07:00:16",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-16 09:50:00",4450,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-16 10:10:00",400,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-16 10:00:56",950,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-16 09:17:33",300,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-16 09:02:37",2550,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-16 10:10:00",1610,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-16 10:10:00",1580,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-16 10:10:00",1690,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-15 21:10:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-16 10:40:00",110,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-16 10:40:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-16 10:40:00",5990,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-16 10:40:00",270,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-16 10:40:00",410,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-03-16 10:02:27",2800,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-16 10:40:00",1710,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-16 10:04:39",1700,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-15 18:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-16 10:40:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-16 10:40:00",240,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-16 10:40:00",690,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-16 07:00:16",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-16 10:30:00",4470,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-16 10:40:00",350,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-16 10:00:56",950,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-16 10:00:56",300,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-16 10:08:29",2000,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-16 10:40:00",1560,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-16 10:40:00",1550,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-16 10:40:00",1680,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-15 21:10:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-16 11:10:00",110,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-16 11:10:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-16 11:10:00",6000,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-16 11:10:00",270,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-16 11:10:00",430,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-03-16 10:02:27",2800,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-16 11:10:00",1690,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-16 10:04:39",1700,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-15 18:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-16 11:10:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-16 11:10:00",250,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-16 11:10:00",480,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-16 10:37:31",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-16 10:30:00",4470,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-16 11:10:00",300,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-16 10:00:56",950,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-16 10:00:56",300,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-16 10:08:29",2000,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-16 11:10:00",1490,"Status : Siaga 3"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-16 11:10:00",1520,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-16 11:10:00",1680,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-15 21:10:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-16 11:40:00",100,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-16 11:40:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-16 11:40:00",6000,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-16 11:40:00",260,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-16 11:40:00",300,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-03-16 11:02:19",2800,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-16 11:40:00",1530,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-16 11:00:05",1570,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-15 18:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-16 11:40:00",610,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-16 11:40:00",250,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-16 11:40:00",480,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-16 10:37:31",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-16 11:40:00",4490,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-16 11:40:00",260,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-16 10:00:56",950,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-16 11:00:05",300,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-16 11:00:05",1700,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-16 11:40:00",1430,"Status : Siaga 3"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-16 11:40:00",1400,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-16 11:40:00",1660,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-15 21:10:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-16 12:10:00",100,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-16 12:10:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-16 12:10:00",5990,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-16 12:10:00",260,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-16 12:10:00",30,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-03-16 11:02:19",2800,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-16 12:10:00",1490,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-16 11:00:05",1570,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-15 18:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-16 12:10:00",620,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-16 12:10:00",250,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-16 12:10:00",470,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-16 10:37:31",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-16 12:10:00",4490,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-16 12:10:00",190,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-16 12:00:46",950,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-16 12:00:46",300,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-16 11:00:05",1700,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-16 12:10:00",1360,"Status : Siaga 3"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-16 12:10:00",1340,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-16 12:10:00",1660,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-15 21:10:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-16 12:40:00",100,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-16 12:40:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-16 12:40:00",5980,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-16 12:40:00",260,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-16 12:40:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-03-16 12:19:36",2800,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-16 12:40:00",1450,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-16 12:20:01",1450,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-15 18:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-16 12:40:00",610,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-16 12:40:00",250,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-16 12:40:00",480,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-16 10:37:31",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-16 12:30:00",4490,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-16 12:40:00",170,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-16 12:00:46",950,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-16 12:00:46",300,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-16 12:20:29",1650,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-16 12:40:00",1310,"Status : Siaga 3"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-16 12:40:00",1290,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-16 12:40:00",1650,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-15 21:10:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-16 13:10:00",90,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-16 13:10:00",470,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-16 13:10:00",6020,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-16 13:10:00",260,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-16 13:10:00",210,"Status : Normal"
