tanggal,waktu,nama_pintu_air,lokasi,latitude,longitude,tinggi_air,status_siaga
2019-02-13,6:50:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,760,Status : Normal
2019-02-13,6:50:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,5910,Status : Normal
2019-02-13,6:50:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,310,Status : Normal
2019-02-13,6:50:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,240,Status : Normal
2019-02-11,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2990,Status : Normal
2019-02-13,6:50:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1540,Status : Normal
2019-02-13,6:50:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1500,Status : Normal
2019-02-13,6:50:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-2060,Status : Normal
2019-02-11,4:00:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,800,Status : Normal
2019-02-13,6:50:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,240,Status : Normal
2019-02-13,6:50:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,540,Status : Normal
2019-02-13,1:30:00PM,PS. Sunter Hulu,Sunter,,,610,Status : Normal
2019-02-13,6:50:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3370,Status : Normal
2019-02-13,6:50:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,180,Status : Normal
2019-02-13,7:00:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1000,Status : Normal
2019-02-12,11:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,2100,Status : Normal
2019-02-13,6:50:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1800,Status : Normal
2019-02-13,6:50:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-02-13,6:50:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1340,Status : Siaga 3
2019-02-13,6:50:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-02-13,6:20:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1600,Status : Siaga 3
2019-02-13,7:00:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,130,Status : Normal
2019-02-13,7:00:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,80,Status : Normal
2019-02-13,7:00:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,760,Status : Normal
2019-02-13,7:00:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,5910,Status : Normal
2019-02-13,7:00:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,310,Status : Normal
2019-02-13,7:00:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,250,Status : Normal
2019-02-11,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2990,Status : Normal
2019-02-13,7:00:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1570,Status : Normal
2019-02-13,7:00:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1520,Status : Normal
2019-02-13,7:00:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-2070,Status : Normal
2019-02-11,4:00:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,800,Status : Normal
2019-02-13,7:00:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,240,Status : Normal
2019-02-13,7:00:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,240,Status : Normal
2019-02-13,1:30:00PM,PS. Sunter Hulu,Sunter,,,610,Status : Normal
2019-02-13,7:00:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3370,Status : Normal
2019-02-13,7:00:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,180,Status : Normal
2019-02-13,7:10:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1000,Status : Normal
2019-02-12,11:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,2100,Status : Normal
2019-02-13,7:00:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1800,Status : Normal
2019-02-13,7:00:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-02-13,7:00:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1340,Status : Siaga 3
2019-02-13,7:00:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-02-13,6:20:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1600,Status : Siaga 3
2019-02-13,7:10:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,130,Status : Normal
2019-02-13,7:10:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,80,Status : Normal
2019-02-13,7:10:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,820,Status : Normal
2019-02-13,7:10:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,5670,Status : Normal
2019-02-13,7:10:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,310,Status : Normal
2019-02-13,7:10:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,250,Status : Normal
2019-02-11,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2990,Status : Normal
2019-02-13,7:10:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1570,Status : Normal
2019-02-13,7:10:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1520,Status : Normal
2019-02-13,7:10:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-2080,Status : Normal
2019-02-11,4:00:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,800,Status : Normal
2019-02-13,7:10:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,250,Status : Normal
2019-02-13,7:10:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,220,Status : Normal
2019-02-13,1:30:00PM,PS. Sunter Hulu,Sunter,,,610,Status : Normal
2019-02-13,7:10:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3370,Status : Normal
2019-02-13,7:10:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,180,Status : Normal
2019-02-13,7:20:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1020,Status : Normal
2019-02-12,11:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,2100,Status : Normal
2019-02-13,7:10:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1800,Status : Normal
2019-02-13,7:10:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-02-13,7:10:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1350,Status : Siaga 3
2019-02-13,7:10:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-02-13,6:20:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1600,Status : Siaga 3
2019-02-13,7:20:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,130,Status : Normal
2019-02-13,7:20:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,80,Status : Normal
2019-02-13,7:20:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,910,Status : Normal
2019-02-13,7:20:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,5910,Status : Normal
2019-02-13,7:20:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,310,Status : Normal
2019-02-13,7:20:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,260,Status : Normal
2019-02-11,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2990,Status : Normal
2019-02-13,7:20:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1570,Status : Normal
2019-02-13,7:20:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1520,Status : Normal
2019-02-13,7:20:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-2080,Status : Normal
2019-02-11,4:00:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,800,Status : Normal
2019-02-13,7:20:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,250,Status : Normal
2019-02-13,7:20:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,550,Status : Normal
2019-02-13,1:30:00PM,PS. Sunter Hulu,Sunter,,,610,Status : Normal
2019-02-13,7:20:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3370,Status : Normal
2019-02-13,7:10:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,180,Status : Normal
2019-02-13,7:30:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1020,Status : Normal
2019-02-12,11:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,2100,Status : Normal
2019-02-13,7:20:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1810,Status : Normal
2019-02-13,7:20:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-02-13,7:20:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1360,Status : Siaga 3
2019-02-13,7:20:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-02-13,6:20:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1600,Status : Siaga 3
2019-02-13,7:20:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,130,Status : Normal
2019-02-13,7:30:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,80,Status : Normal
2019-02-13,7:30:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,800,Status : Normal
2019-02-13,7:30:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,5910,Status : Normal
2019-02-13,7:30:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,310,Status : Normal
2019-02-13,7:30:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,270,Status : Normal
2019-02-11,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2990,Status : Normal
2019-02-13,7:30:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1570,Status : Normal
2019-02-13,7:30:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1510,Status : Normal
2019-02-13,7:30:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-2090,Status : Normal
2019-02-11,4:00:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,800,Status : Normal
2019-02-13,7:30:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,250,Status : Normal
2019-02-13,7:30:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,220,Status : Normal
2019-02-13,1:30:00PM,PS. Sunter Hulu,Sunter,,,610,Status : Normal
2019-02-13,7:20:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3370,Status : Normal
2019-02-13,7:30:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,180,Status : Normal
2019-02-13,7:40:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1010,Status : Normal
2019-02-12,11:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,2100,Status : Normal
2019-02-13,7:30:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1810,Status : Normal
2019-02-13,7:30:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-02-13,7:30:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1360,Status : Siaga 3
2019-02-13,7:30:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-02-13,6:20:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1600,Status : Siaga 3
2019-02-13,7:20:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,130,Status : Normal
2019-02-13,7:40:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,80,Status : Normal
2019-02-13,7:40:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,800,Status : Normal
2019-02-13,7:40:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,5680,Status : Normal
2019-02-13,7:40:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,310,Status : Normal
2019-02-13,7:40:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,270,Status : Normal
2019-02-11,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2990,Status : Normal
2019-02-13,7:40:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1580,Status : Normal
2019-02-13,7:40:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1550,Status : Normal
2019-02-13,7:30:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-2090,Status : Normal
2019-02-11,4:00:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,800,Status : Normal
2019-02-13,7:40:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,250,Status : Normal
2019-02-13,7:40:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,210,Status : Normal
2019-02-13,1:30:00PM,PS. Sunter Hulu,Sunter,,,610,Status : Normal
2019-02-13,7:40:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3370,Status : Normal
2019-02-13,7:40:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,180,Status : Normal
2019-02-13,7:50:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1000,Status : Normal
2019-02-12,11:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,2100,Status : Normal
2019-02-13,7:40:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1810,Status : Normal
2019-02-13,7:40:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-02-13,7:40:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1360,Status : Siaga 3
2019-02-13,7:40:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-02-13,6:20:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1600,Status : Siaga 3
2019-02-13,7:20:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,130,Status : Normal
2019-02-13,7:50:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,90,Status : Normal
2019-02-13,7:50:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,810,Status : Normal
2019-02-13,7:50:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,5920,Status : Normal
2019-02-13,7:50:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,310,Status : Normal
2019-02-13,7:50:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,280,Status : Normal
2019-02-11,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2990,Status : Normal
2019-02-13,7:50:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1590,Status : Normal
2019-02-13,7:50:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1550,Status : Normal
2019-02-13,7:50:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-2100,Status : Normal
2019-02-11,4:00:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,800,Status : Normal
2019-02-13,7:50:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,250,Status : Normal
2019-02-13,7:50:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,530,Status : Normal
2019-02-13,1:30:00PM,PS. Sunter Hulu,Sunter,,,610,Status : Normal
2019-02-13,7:50:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3370,Status : Normal
2019-02-13,7:50:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,180,Status : Normal
2019-02-13,8:00:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1000,Status : Normal
2019-02-12,11:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,2100,Status : Normal
2019-02-13,7:50:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1810,Status : Normal
2019-02-13,7:50:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-02-13,7:50:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1370,Status : Siaga 3
2019-02-13,7:50:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-02-13,6:20:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1600,Status : Siaga 3
2019-02-13,7:20:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,130,Status : Normal
2019-02-13,8:00:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,90,Status : Normal
2019-02-13,8:00:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,840,Status : Normal
2019-02-13,8:00:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,5890,Status : Normal
2019-02-13,8:00:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,310,Status : Normal
2019-02-13,8:00:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,290,Status : Normal
2019-02-11,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2990,Status : Normal
2019-02-13,8:00:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1600,Status : Normal
2019-02-13,8:00:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1570,Status : Normal
2019-02-13,8:00:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-2110,Status : Normal
2019-02-11,4:00:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,800,Status : Normal
2019-02-13,8:00:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,250,Status : Normal
2019-02-13,8:00:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,220,Status : Normal
2019-02-13,1:30:00PM,PS. Sunter Hulu,Sunter,,,610,Status : Normal
2019-02-13,8:00:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3370,Status : Normal
2019-02-13,8:00:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,180,Status : Normal
2019-02-13,8:10:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1000,Status : Normal
2019-02-12,11:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,2100,Status : Normal
2019-02-13,8:00:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1810,Status : Normal
2019-02-13,8:00:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-02-13,8:00:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1370,Status : Siaga 3
2019-02-13,8:00:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-02-13,6:20:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1600,Status : Siaga 3
2019-02-13,7:20:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,130,Status : Normal
2019-02-13,8:10:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,90,Status : Normal
2019-02-13,8:10:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,850,Status : Normal
2019-02-13,8:10:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,5740,Status : Normal
2019-02-13,8:10:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,310,Status : Normal
2019-02-13,8:10:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,300,Status : Normal
2019-02-11,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2990,Status : Normal
2019-02-13,8:10:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1610,Status : Normal
2019-02-13,8:10:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1570,Status : Normal
2019-02-13,8:10:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-2110,Status : Normal
2019-02-11,4:00:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,800,Status : Normal
2019-02-13,8:10:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,250,Status : Normal
2019-02-13,8:10:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,210,Status : Normal
2019-02-13,1:30:00PM,PS. Sunter Hulu,Sunter,,,610,Status : Normal
2019-02-13,8:10:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3370,Status : Normal
2019-02-13,8:10:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,180,Status : Normal
2019-02-13,8:20:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1020,Status : Normal
