nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-15 18:40:00",5460,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-04-15 17:00:02",300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-15 18:40:00",430,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-15 18:40:00",3320,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-04-15 18:10:00",1650,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-04-15 17:00:28",1450,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-15 18:40:00",-1900,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-04-15 15:00:34",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-15 17:00:28",1800,"Status : Siaga 3"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-15 18:30:00",420,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-04-15 14:00:50",700,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-04-15 18:30:00",4610,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-15 18:40:00",320,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-04-15 08:03:35",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-04-15 17:00:28",1800,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-04-15 17:00:02",1600,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-04-15 18:40:00",1480,"Status : Siaga 3"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-04-15 18:40:00",1590,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-04-15 18:40:00",1580,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-04-07 18:20:00",330,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-04-15 19:10:00",160,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-04-15 19:10:00",600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-15 19:10:00",5720,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-04-15 17:00:02",300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-15 19:10:00",-320,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-15 19:10:00",3320,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-04-15 19:10:00",1760,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-04-15 17:00:28",1450,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-15 19:10:00",-1910,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-04-15 15:00:34",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-15 17:00:28",1800,"Status : Siaga 3"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-15 19:10:00",350,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-04-15 14:00:50",700,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-04-15 18:30:00",4610,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-15 19:10:00",370,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-04-15 08:03:35",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-04-15 19:00:00",1860,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-04-15 17:00:02",1600,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-04-15 19:10:00",1520,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-04-15 19:10:00",1650,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-04-15 18:50:00",1570,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-04-07 18:20:00",330,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-04-15 19:30:00",150,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-04-15 19:40:00",600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-15 19:40:00",5950,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-04-15 18:00:22",300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-15 19:30:00",130,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-15 19:30:00",3310,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-04-15 19:40:00",1810,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-04-15 18:00:12",1500,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-15 19:40:00",-1930,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-04-15 15:00:34",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-15 18:00:48",1800,"Status : Siaga 3"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-15 19:40:00",340,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-04-15 14:00:50",700,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-04-15 19:30:00",4610,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-15 19:40:00",420,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-04-15 08:03:35",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-04-15 19:40:00",1900,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-04-15 18:00:12",1700,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-04-15 19:40:00",1550,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-04-15 19:40:00",1690,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-04-15 18:50:00",1570,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-04-07 18:20:00",330,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-04-15 20:10:00",140,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-04-15 20:10:00",630,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-15 20:10:00",5940,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-04-15 19:35:55",300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-15 20:10:00",170,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-15 20:10:00",3300,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-04-15 20:10:00",1870,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-04-15 19:32:51",1550,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-15 20:00:00",-1940,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-04-15 15:00:34",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-15 19:36:31",1800,"Status : Siaga 3"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-15 20:00:00",390,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-04-15 14:00:50",700,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-04-15 20:10:00",4610,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-15 20:10:00",460,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-04-15 08:03:35",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-04-15 20:10:00",1920,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-04-15 18:00:12",1700,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-04-15 20:10:00",1570,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-04-15 20:10:00",1760,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-04-15 18:50:00",1570,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-04-07 18:20:00",330,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-04-15 20:40:00",140,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-04-15 20:40:00",600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-15 20:40:00",5930,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-04-15 19:35:55",300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-15 20:40:00",180,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-15 20:20:00",3300,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-04-15 20:40:00",1910,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-04-15 19:32:51",1550,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-15 20:40:00",-1950,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-04-15 15:00:34",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-15 19:36:31",1800,"Status : Siaga 3"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-15 20:40:00",410,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-04-15 14:00:50",700,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-04-15 20:30:00",4610,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-15 20:40:00",510,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-04-15 08:03:35",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-04-15 20:40:00",1930,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-04-15 18:00:12",1700,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-04-15 20:40:00",1560,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-04-15 20:30:00",1760,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-04-15 18:50:00",1570,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-04-07 18:20:00",330,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-04-15 21:10:00",150,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-04-15 21:10:00",600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-15 21:00:00",5910,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-04-15 20:40:59",300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-15 21:10:00",200,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-15 20:20:00",3300,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-04-15 21:10:00",1910,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-04-15 20:37:16",1750,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-15 21:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-04-15 15:00:34",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-15 20:38:01",500,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-15 21:00:00",330,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-04-15 14:00:50",700,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-04-15 21:00:00",4610,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-15 21:10:00",530,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-04-15 08:03:35",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-04-15 21:10:00",1930,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-04-15 20:00:00",2000,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-04-15 21:10:00",1570,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-04-15 21:10:00",1750,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-04-15 18:50:00",1570,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-04-07 18:20:00",330,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-04-15 21:40:00",140,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-04-15 21:40:00",600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-15 21:40:00",5900,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-04-15 20:40:59",300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-15 21:40:00",220,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-15 21:40:00",3200,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-04-15 21:40:00",1890,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-04-15 20:37:16",1750,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-15 21:30:00",-1970,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-04-15 15:00:34",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-15 20:38:01",500,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-15 21:40:00",380,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-04-15 14:00:50",700,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-04-15 21:30:00",4610,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-15 21:40:00",550,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-04-15 08:03:35",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-04-15 21:40:00",1920,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-04-15 20:00:00",2000,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-04-15 21:40:00",1580,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-04-15 21:40:00",1770,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-04-15 21:20:00",1740,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-04-07 18:20:00",330,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-04-15 22:10:00",140,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-04-15 22:10:00",600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-15 22:00:00",5910,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-04-15 21:34:57",300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-15 22:10:00",230,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-15 22:10:00",3190,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-04-15 22:10:00",1950,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-04-15 21:30:12",1900,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-15 22:10:00",-1970,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-04-15 15:00:34",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-15 21:34:27",1900,"Status : Siaga 3"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-15 22:10:00",370,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-04-15 14:00:50",700,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-04-15 21:50:00",4610,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-15 22:50:00",550,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-04-15 08:03:35",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-04-15 22:10:00",1910,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-04-15 21:37:18",2550,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-04-15 22:00:00",1590,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-04-15 22:10:00",1770,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-04-15 21:20:00",1740,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-04-07 18:20:00",330,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-04-15 22:40:00",130,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-04-15 22:30:00",600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-15 22:40:00",5900,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-04-15 21:34:57",300,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-15 22:30:00",230,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-15 22:20:00",3180,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-04-15 22:40:00",1920,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-04-15 21:30:12",1900,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-15 22:40:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-04-15 15:00:34",650,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-15 21:34:27",1900,"Status : Siaga 3"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-15 22:40:00",380,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-04-15 14:00:50",700,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-04-15 21:50:00",4610,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-15 22:50:00",550,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-04-15 08:03:35",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-04-15 22:40:00",1900,"Status : Normal"
